description,category
"Black Samsung smartphone with cracked screen",phone
"Blue iPhone with transparent protective case",phone
"White Android phone with damaged charging port",phone
"Small red mobile phone with black cover",phone
"Silver smartphone with dual rear cameras",phone
"Black Huawei phone with university wallpaper",phone
"Gold iPhone with scratched back panel",phone
"Dark blue phone with broken screen protector",phone
"Grey mobile phone inside a leather case",phone
"Purple smartphone with flower sticker",phone
"Brown leather wallet with several card slots",wallet
"Black wallet containing student identification card",wallet
"Small red purse-style wallet with metal zip",wallet
"Dark blue fabric wallet with white logo",wallet
"Long black leather wallet with coin pocket",wallet
"Grey wallet with bank cards inside",wallet
"Brown folding wallet with damaged corner",wallet
"Pink wallet with gold button",wallet
"Small green wallet with zipper",wallet
"Black card wallet with university card",wallet
"Black Adidas backpack with silver zipper",bag
"Blue school bag with two front pockets",bag
"Grey laptop backpack with USB charging port",bag
"Red shoulder bag with white strap",bag
"Brown leather handbag with gold buckle",bag
"Small black sling bag with damaged zip",bag
"Green sports bag with side pocket",bag
"Dark blue backpack with university logo",bag
"Purple handbag with long shoulder strap",bag
"Black travel bag with wheels",bag
"Silver house key attached to blue keychain",keys
"Three keys on a red plastic ring",keys
"Car key with black remote control",keys
"Small brass key attached to green tag",keys
"Two silver keys with university keychain",keys
"Black vehicle key with metal blade",keys
"Room key attached to white label",keys
"Golden padlock key with circular ring",keys
"Bundle of keys with blue fabric strap",keys
"Single silver key with red cover",keys
"Blue plastic water bottle with university sticker",bottle
"Transparent bottle with black cap",bottle
"Green reusable bottle with metal lid",bottle
"Silver stainless steel drinking bottle",bottle
"Pink water bottle with carrying handle",bottle
"Black sports bottle with white logo",bottle
"Large clear bottle with measurement markings",bottle
"Red flask-style bottle with grey cap",bottle
"Purple insulated bottle with straw",bottle
"Small orange bottle with damaged cap",bottle
"Black folding umbrella with wooden handle",umbrella
"Blue umbrella with white pattern",umbrella
"Small red travel umbrella in fabric cover",umbrella
"Grey automatic umbrella with curved handle",umbrella
"Green umbrella with broken metal frame",umbrella
"Purple umbrella with flower pattern",umbrella
"Large black umbrella with silver tip",umbrella
"Yellow compact umbrella with wrist strap",umbrella
"Dark blue umbrella with university logo",umbrella
"Transparent umbrella with white handle",umbrella
"White wireless earbuds inside charging case",headphones
"Black over-ear headphones with red cable",headphones
"Blue Bluetooth headphones with padded band",headphones
"Small wired earphones with microphone",headphones
"Grey noise-cancelling headphones in black case",headphones
"Red gaming headset with attached microphone",headphones
"White earphones with damaged left speaker",headphones
"Black wireless earbuds with silver logo",headphones
"Purple headphones with folding ear cups",headphones
"Green wired earphones inside small pouch",headphones
"Silver HP laptop with black keyboard",laptop
"Grey Dell laptop with damaged corner",laptop
"Black Lenovo notebook computer with charger",laptop
"Small silver MacBook with scratched lid",laptop
"Blue laptop covered with stickers",laptop
"Black Acer laptop inside protective sleeve",laptop
"White laptop with university label",laptop
"Dark grey notebook computer with cracked hinge",laptop
"Silver Asus laptop with missing key",laptop
"Black gaming laptop with red keyboard",laptop
"Black digital watch with rubber strap",watch
"Silver wristwatch with metal band",watch
"Gold analogue watch with brown leather strap",watch
"Blue sports watch with digital display",watch
"White smartwatch with silicone band",watch
"Small black fitness watch with cracked screen",watch
"Rose gold wristwatch with round face",watch
"Grey smartwatch with magnetic charger",watch
"Red children's watch with plastic strap",watch
"Brown leather watch with silver face",watch
"Malaysian identity card inside plastic holder",document
"University registration document in blue folder",document
"Passport with dark red cover",document
"Printed examination slip with student details",document
"Driving licence inside transparent sleeve",document
"Medical appointment document folded in half",document
"Bank statement inside white envelope",document
"Official letter with university stamp",document
"Birth certificate inside clear file",document
"Course registration paper with signature",document
"Blue university student card with photograph",student_card
"White student identification card with barcode",student_card
"Red campus access card with student name",student_card
"Plastic student card inside black holder",student_card
"Green library card with identification number",student_card
"University ID card attached to blue lanyard",student_card
"Student card with damaged corner",student_card
"Yellow college identification card",student_card
"Campus card inside transparent badge holder",student_card
"White university card with faded photograph",student_card
"Black Casio scientific calculator",calculator
"Grey calculator with solar panel",calculator
"Blue scientific calculator inside plastic cover",calculator
"White calculator with missing battery cover",calculator
"Small black pocket calculator",calculator
"Silver engineering calculator with scratched screen",calculator
"Pink calculator with transparent buttons",calculator
"Dark blue Casio calculator with student name",calculator
"Black graphing calculator with protective case",calculator
"Grey scientific calculator with damaged keypad",calculator
